# Start logging at 2022-04-06 02:07:39 Tokyo Standard Time
[07:44:22]  babsmcnh: Lmao
[07:44:31]  babsmcnh: Zetto is blind
[07:44:41]  chisasfam: zetto vision impaired arc
[07:44:44]  nightbot: peepoHug Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[07:44:45]  303devilfish: Kapp
[07:44:53]  chisasfam: "I knew it was there"
[07:46:11]  haine_sense1: gravity on donuts with icing is weird
[07:47:06]  chisasfam: marios life would be so much easier if he didnt hit every living thing he saw
[07:47:18]  mchamy: WR pace Pog
[07:47:41]  chisasfam: the egg was just chillin till you hit it
[07:47:49]  usausachu: Zetto if you never had to eat, or drink, which would you choose
[07:47:52]  babsmcnh: Peach doesn’t wanna hit mario Sadge
[07:47:54]  chisasfam: would you ever run smg2 ?
[07:48:07]  babsmcnh: This boss is so annoying
[07:48:11]  chisasfam: pac man ghost
[07:48:35]  haine_sense1: I mean, it's fine but yea, bad rng
[07:48:47]  usausachu: Tru
[07:49:05]  usausachu: Ye
[07:49:11]  usausachu: You just didn’t HAVE to go survive
[07:49:24]  haine_sense1: given that, yea eating
[07:50:21]  303devilfish: first try Pog
[07:50:24]  chisasfam: Lurking babe
[07:50:27]  haine_sense1: lol. no health lost
[07:50:48]  mchamy: EZ Clap
[07:51:32]  usausachu: Lurking babe uwu xoxo
[07:51:52]  303devilfish: KappaPride Clap
[07:52:08]  haine_sense1: I like cheese
[07:52:35]  babsmcnh: What nicknames are good for SOs monkaHmm
[07:53:30]  babsmcnh: This is easy for zetto EZ
[07:53:48]  babsmcnh: zetto “speedrun” no-last-name
[07:53:52]  haine_sense1: most chaotic idea ever: the shadow's spins also cause the coloured blocks to change
[07:54:19]  babsmcnh: Pog that sounds nuts
[07:54:42]  kaeos: racism is NOT pogchamp
[07:54:47]  babsmcnh: BABYDOLL 😍
[07:55:15]  mchamy: daddy Kappa
[07:56:36]  kaeos: hey zetto i made donuts, do u want one?
[07:56:54]  haine_sense1: I can believe you got hit by tha
[07:56:56]  haine_sense1: that
[07:57:05]  chef_zack: Kappa
[07:57:07]  babsmcnh: So give us examples
[07:57:14]  mchamy: kaeos clintLove
[07:57:16]  babsmcnh: MY QUEEN
[07:57:18]  cosmicmikan: babe is always a classic
[07:57:25]  kaeos: @mchamy xqcL
[07:57:31]  babsmcnh: You have the looks to back it up
[07:57:36]  babsmcnh: SELF CONFIDENCE ZETTO
[07:57:46]  babsmcnh: babe rly is a classic
[07:57:51]  mchamy: call them discord kittens Kappa
[07:57:53]  kaeos: do you not do nicknames because you dont think you have the looks or because youre single
[07:57:54]  usausachu: What do you call your mom and dad
[07:58:10]  haine_sense1: zetto definitely has the looks to back it up
[07:58:15]  cosmicmikan: NO
[07:58:30]  kaeos: whats a discord kitten
[07:58:40]  chef_zack: your mom
[07:58:48]  babsmcnh: lol it happens in fucked up discords
[07:58:57]  mchamy: pretty sure its a meme
[07:59:05]  haine_sense1: what are discord kittens?
[07:59:09]  usausachu: Ye I was just wondering if you had nicknames
[07:59:10]  chef_zack: your mom
[07:59:11]  babsmcnh: I call my dad pops now Clap
[07:59:15]  usausachu: I think it’s a meme tbh
[07:59:21]  usausachu: Some mods can be uptight though
[07:59:27]  kaeos: that is NOT pogchamp
