# Start logging at 2022-09-12 01:28:46 Tokyo Standard Time
[01:28:46] connected
[09:33:09]  kaeos: it creates poor people, who i hate
[09:34:28]  kaeos: get the happy ending
[09:35:48]  zeroultima6: basil...
[09:35:57]  303devilfish: D:
[09:35:57]  nightbot: D:
[09:36:26]  303devilfish: playing through the whole game again just to make Basil suffer more FeelsWeirdMan
[09:36:32]  zeroultima6: that's the neutral ending
[09:38:07]  kaeos: is there an ending where you just move away normally like it would happen in real life
[09:38:07] ブライトくん bright_f4: Top G, What color is your Bugatti? 🚗🚙🚘
[09:38:33]  zeroultima6: and now basil's something is haunting you
[09:40:11]  kaeos: i like this ending
[09:40:19]  kaeos: does basil kill himself in this ending
[09:40:22]  kaeos: why are there sirens
[09:40:35]  kaeos: oh i like it less
[09:40:37]  303devilfish: i think the sirens imply you kill yourself too but i'm not sure
[09:41:54]  kaeos: why was toby fox in the credits
[09:42:02]  kaeos: i hated undertale
[09:43:03]  kaeos: why do ultimate players like hungrybox so much
[09:44:21]  kaeos: if it were me, i would like with that
[09:44:56]  zeroultima6: why's a knife?
[09:46:52]  kaeos: hey pick up the phone
[09:47:29]  kaeos: this ending is for pussies
[09:47:35]  zeroultima6: hey, you jump off the cliff
[09:48:08]  kaeos: bitchmade ending fr
[09:49:31]  zeroultima6: so the knife: neutral-bad ending
[09:49:33]  303devilfish: PepePls 🔥
[09:51:09]  303devilfish: Bedge
[09:51:33]  zeroultima6: sometimes, looking up youtube is a bit lazy
[09:53:04]  laurabraus: nah aint nobody got time to go through extra endings if you can look them up on youtube
[09:53:23]  303devilfish: PepePls
[09:53:24]  laurabraus: especially if its like. you'd have to play the whole game again
[09:55:34]  303devilfish: FeelsStrongMan
[09:57:39]  laurabraus: clap clap clap
[09:57:42]  kaeos: i no longer respect you as a true omori fan, for not playing through all the alternative endings
[09:57:43]  303devilfish: FeelsStrongMan Clap
[09:58:14]  voltaqe4: Imagine having only 3 minutes to do things
[09:58:54]  kaeos: gn
[09:58:55]  nightbot: https://clips.twitch.tv/GeniusCovertSalmonItsBoshyTime-NECqGzkggZv8lT-v
[09:58:58]  laurabraus: peace out bro
[09:59:29]  303devilfish: clintWave
[09:59:44] ktrZetto is now offline.
[10:00:16]  nightbot: You probably shouldn't give any streamer money. I'm not a financial advisor but that is financial advice. But if you want to help support the channel, and more importantly, help your boy get paid, feel free to click the link. Please give me your money. https://streamlabs.com/ktrzetto/tip https://www.twitch.tv/products/ktrZetto
