# Start logging at 2022-02-20 10:08:05 Tokyo Standard Time
[10:08:05] ktrZetto is live!
[10:08:05] 2022年2月20日
[10:59:34]  usausachu: It’s like a thing from the Simpsons
[10:59:39]  darkphoeen1x: as soon as i wrote it qopened
[10:59:45]  usausachu: @darkphoeen1x LUL
[10:59:49]  usausachu: Lucky
[11:00:01]  robertzarmy: aw fuck i missed the prediction
[11:00:03]  robertzarmy: low beans today
[11:00:12]  nightbot: Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[11:00:28]  saltychildofthesea: dude i keep getting this lebron james crypto ad
[11:00:30]  usausachu: Is your wisdom tooth okay?
[11:01:52]  usausachu: I pointed to you on my phone and said to my roommate “he doesn’t like the Simpsons” and they go “it’s not a very good anime, ofc he wouldn’t like it”
[11:01:53]  robertzarmy: u didnt even finish a run yesterday
[11:02:01]  usausachu: @robertzarmy LUL
[11:02:41]  saltychildofthesea: dentist vlog POGGIESHD
[11:03:39]  laurabraus: is your simpsons ride also the rollercoaster simulator
[11:03:51]  robertzarmy: Nah
[11:04:03]  robertzarmy: babsmcnh literally richer than u already
[11:04:19]  laurabraus: yesssss
[11:04:33]  laurabraus: why is it so effective...that ride was so fun to me
[11:04:43]  laurabraus: but i also dont watch the simpsons
[11:04:55]  laurabraus: i knew enough to understand the characters though
[11:04:56]  robertzarmy: go zetto, I believe in the PB today
[11:05:06]  laurabraus: my friend literally got motion sick on that ride though
[11:05:22]  robertzarmy: im saying im richer than babs already
[11:05:27]  robertzarmy: in points
[11:05:44]  laurabraus: afterward she was like dude...i feel messed up...andi  was like WE WERENT EVEN ACTUALLY MOVING she went on the harry potter simulator ride with no problems
[11:06:24]  laurabraus: anyways whats up how are you guys
[11:06:55]  usausachu: I got 20k
[11:08:18]  usausachu: But you already have a sub usausaXD
[11:08:31]  usausachu: I’m gonna add new redeems soon too
[11:09:42]  laurabraus: ive never used my channel points so i have. a lot
[11:10:14]  usausachu: I feel like Fig will just gift it before I have a chance LUL
[11:10:57]  usausachu: What set up do you use for canon less
[11:11:00]  usausachu: I’ve never paid attention
[11:15:35]  robertzarmy: laurabraus how many
[11:16:25]  usausachu: !lurk
[11:16:25]  nightbot: ktrzetLurk bye bitch
[11:20:57]  darkphoeen1x: So Dungen finished
[11:21:17]  darkphoeen1x: took only like 2 resets i think
[11:22:14]  darkphoeen1x: they are cool with that sometimes they give advice and rarely pissed
[11:22:29]  laurabraus: @robertzarmy 70.4k
[11:22:44]  darkphoeen1x: and i meant with the resets your SM64 runs^^
[11:23:03]  laurabraus: oh did you change the vip point price?
[11:23:16]  laurabraus: i forget vip exists
[11:23:26]  darkphoeen1x: and i was lucky to get it for free ^^
[11:23:33]  laurabraus: LMAO
[11:23:59]  darkphoeen1x: ^^
[11:24:21]  darkphoeen1x: i think i went there away to get something to drink
[11:24:46]  laurabraus: why is free sub less expensive than vip
[11:25:13]  laurabraus: oh theres limited vip slots?
[11:25:19]  laurabraus: i didnt know that wt
[11:25:29]  darkphoeen1x: i got Coffee rn
[11:25:57]  darkphoeen1x: 3:25 am
[11:27:04]  darkphoeen1x: and i'm not the right age for whiskey
[11:27:57]  darkphoeen1x: 16
[11:28:14]  darkphoeen1x: why not
[11:28:21]  saltychildofthesea: schabo1Bruh
[11:28:30]  lovelyfreya: Yeah why not old man?
